,date,winner,loser,result,draw,Match_rank,dyad
375,2015-05-25,panc,wokb,1,FALSE,1,Af_Am
376,2015-05-25,sash,lucy,1,FALSE,1,Af_Af
377,2015-05-25,scar,flo,1,FALSE,1,Af_Af
378,2015-05-25,scar,ocea,1,FALSE,1,Af_Af
379,2015-05-25,scar,spoc,1,FALSE,0,Jm_Af
380,2015-05-25,scar,lucy,1,FALSE,1,Af_Af
381,2015-05-25,tyle,mori,1,FALSE,1,Am_Am
382,2015-05-25,tyle,mori,1,FALSE,1,Am_Am
383,2015-05-25,tyle,mori,1,FALSE,1,Am_Am
384,2015-05-25,tyle,flyn,1,FALSE,1,Am_Am
385,2015-05-25,fay,panc,2,FALSE,0,Am_Af
386,2015-05-25,phoe,flyn,2,FALSE,0,Am_Af
387,2015-05-25,coco,flyn,3,TRUE,0,Am_Af
388,2015-05-25,panc,scar,3,TRUE,0,Af_Am
389,2015-05-26,carm,gizm,1,FALSE,1,Jf_Af
390,2015-05-26,carm,dori,1,FALSE,1,Af_Af
391,2015-05-26,carm,flyn,1,FALSE,0,Am_Af
392,2015-05-26,coco,fay,1,FALSE,1,Af_Af
393,2015-05-26,dori,ging,1,FALSE,1,Af_Af
394,2015-05-26,fay,carm,1,FALSE,1,Af_Af
395,2015-05-26,fay,ging,1,FALSE,1,Af_Af
396,2015-05-26,fay,dori,1,FALSE,1,Af_Af
397,2015-05-26,fay,holl,1,FALSE,1,Af_Af
398,2015-05-26,flyn,coco,1,FALSE,0,Af_Am
399,2015-05-26,flyn,raje,1,FALSE,1,Am_Am
400,2015-05-26,gimp,dori,1,FALSE,1,Af_Jm
401,2015-05-26,holl,puck,1,FALSE,0,Jm_Af
402,2015-05-26,lucy,flo,1,FALSE,1,Af_Af
403,2015-05-26,lucy,gizm,1,FALSE,1,Jf_Af
404,2015-05-26,mori,gimp,1,FALSE,1,Jm_Am
405,2015-05-26,mori,ring,1,FALSE,1,Am_Am
406,2015-05-26,ocea,gizm,1,FALSE,0,Jf_Af
407,2015-05-26,ocea,talu,1,FALSE,0,Jm_Af
408,2015-05-26,panc,mori,1,FALSE,1,Am_Am
409,2015-05-26,panc,sash,1,FALSE,1,Af_Am
410,2015-05-26,panc,mori,1,FALSE,1,Am_Am
411,2015-05-26,panc,mori,1,FALSE,1,Am_Am
412,2015-05-26,panc,ring,1,FALSE,1,Am_Am
413,2015-05-26,panc,raje,1,FALSE,1,Am_Am
414,2015-05-26,panc,mori,1,FALSE,1,Am_Am
415,2015-05-26,phoe,scar,1,FALSE,0,Af_Af
416,2015-05-26,ring,talu,1,FALSE,1,Jm_Am
417,2015-05-26,saff,fina,1,FALSE,1,Jf_Jf
418,2015-05-26,sash,ging,1,FALSE,1,Af_Af
419,2015-05-26,sash,coco,1,FALSE,1,Af_Af
420,2015-05-26,sash,phoe,1,FALSE,1,Af_Af
421,2015-05-26,sash,phoe,1,FALSE,1,Af_Af
422,2015-05-26,sash,ging,1,FALSE,1,Af_Af
423,2015-05-26,sash,ging,1,FALSE,1,Af_Af
424,2015-05-26,talu,gimp,1,FALSE,1,Jm_Jm
425,2015-05-26,tyle,raje,1,FALSE,1,Am_Am
426,2015-05-26,tyle,flyn,1,FALSE,1,Am_Am
427,2015-05-26,carm,tyle,2,FALSE,0,Am_Af
428,2015-05-26,flyn,panc,2,FALSE,0,Am_Am
429,2015-05-26,ring,mori,2,FALSE,0,Am_Am
430,2015-05-26,tyle,gimp,2,FALSE,1,Jm_Am
431,2015-05-26,fina,phoe,3,TRUE,0,Af_Jf
432,2015-05-26,flyn,panc,3,TRUE,0,Am_Am
433,2015-05-27,carm,fina,1,FALSE,1,Jf_Af
434,2015-05-27,coco,cind,1,FALSE,1,Jf_Af
435,2015-05-27,coco,gimp,1,FALSE,1,Jm_Af
436,2015-05-27,coco,lucy,1,FALSE,1,Af_Af
437,2015-05-27,flyn,talu,1,FALSE,1,Jm_Am
438,2015-05-27,flyn,ring,1,FALSE,0,Am_Am
439,2015-05-27,gizm,oreo,1,FALSE,0,Jf_Jf
440,2015-05-27,mori,puck,1,FALSE,1,Jm_Am
441,2015-05-27,panc,tyle,1,FALSE,1,Am_Am
442,2015-05-27,panc,mori,1,FALSE,1,Am_Am
443,2015-05-27,panc,mori,1,FALSE,1,Am_Am
444,2015-05-27,panc,tyle,1,FALSE,1,Am_Am
445,2015-05-27,panc,ring,1,FALSE,1,Am_Am
446,2015-05-27,panc,ring,1,FALSE,1,Am_Am
447,2015-05-27,panc,flyn,1,FALSE,1,Am_Am
448,2015-05-27,panc,flyn,1,FALSE,1,Am_Am
449,2015-05-27,raje,ring,1,FALSE,0,Am_Am
450,2015-05-27,saff,cind,1,FALSE,1,Jf_Jf
